Clock,Servers,QueueSize,Processed,Blocked
[Cycle 1] Servers: 10, Queue: 191, Processed: 10, Blocked: 0
[Cycle 2] Servers: 10, Queue: 192, Processed: 10, Blocked: 0
[Cycle 3] Servers: 10, Queue: 193, Processed: 10, Blocked: 0
[Cycle 4] Servers: 10, Queue: 194, Processed: 10, Blocked: 0
[Cycle 5] Servers: 10, Queue: 195, Processed: 10, Blocked: 0
[Cycle 6] Servers: 10, Queue: 196, Processed: 10, Blocked: 0
[Cycle 7] Servers: 10, Queue: 197, Processed: 10, Blocked: 0
[Cycle 8] Servers: 10, Queue: 198, Processed: 10, Blocked: 0
[Cycle 9] Servers: 10, Queue: 199, Processed: 10, Blocked: 0
[Cycle 10] Servers: 10, Queue: 199, Processed: 10, Blocked: 0
[Cycle 11] Servers: 10, Queue: 198, Processed: 12, Blocked: 0
[Cycle 12] Servers: 10, Queue: 198, Processed: 13, Blocked: 0
[Cycle 13] Servers: 10, Queue: 198, Processed: 13, Blocked: 0
[Cycle 14] Servers: 10, Queue: 199, Processed: 13, Blocked: 0
[Cycle 15] Servers: 10, Queue: 200, Processed: 13, Blocked: 0
[Cycle 16] Servers: 10, Queue: 201, Processed: 13, Blocked: 0
[Cycle 17] Servers: 10, Queue: 202, Processed: 13, Blocked: 0
[Cycle 18] Servers: 10, Queue: 203, Processed: 13, Blocked: 0
[Cycle 19] Servers: 10, Queue: 204, Processed: 13, Blocked: 0
[Cycle 20] Servers: 10, Queue: 205, Processed: 13, Blocked: 0
[Cycle 21] Servers: 10, Queue: 206, Processed: 13, Blocked: 0
[Cycle 22] Servers: 10, Queue: 207, Processed: 13, Blocked: 0
[Cycle 23] Servers: 10, Queue: 208, Processed: 13, Blocked: 0
[Cycle 24] Servers: 10, Queue: 207, Processed: 15, Blocked: 0
[Cycle 25] Servers: 10, Queue: 207, Processed: 16, Blocked: 0
[Cycle 26] Servers: 10, Queue: 206, Processed: 18, Blocked: 0
[Cycle 27] Servers: 10, Queue: 206, Processed: 19, Blocked: 0
[Cycle 28] Servers: 10, Queue: 206, Processed: 20, Blocked: 0
[Cycle 29] Servers: 10, Queue: 206, Processed: 21, Blocked: 0
[Cycle 30] Servers: 10, Queue: 207, Processed: 21, Blocked: 0
[Cycle 31] Servers: 10, Queue: 207, Processed: 22, Blocked: 0
[Cycle 32] Servers: 10, Queue: 208, Processed: 22, Blocked: 0
[Cycle 33] Servers: 10, Queue: 208, Processed: 23, Blocked: 0
[Cycle 34] Servers: 10, Queue: 207, Processed: 25, Blocked: 0
[Cycle 35] Servers: 10, Queue: 208, Processed: 25, Blocked: 0
[Cycle 36] Servers: 10, Queue: 209, Processed: 25, Blocked: 0
[Cycle 37] Servers: 10, Queue: 208, Processed: 26, Blocked: 0
[Cycle 38] Servers: 10, Queue: 209, Processed: 26, Blocked: 0
[Cycle 39] Servers: 10, Queue: 210, Processed: 26, Blocked: 0
[Cycle 40] Servers: 10, Queue: 210, Processed: 27, Blocked: 0
[Cycle 41] Servers: 10, Queue: 211, Processed: 27, Blocked: 0
[Cycle 42] Servers: 10, Queue: 212, Processed: 27, Blocked: 0
[Cycle 43] Servers: 10, Queue: 212, Processed: 27, Blocked: 0
[Cycle 44] Servers: 10, Queue: 212, Processed: 28, Blocked: 0
[Cycle 45] Servers: 10, Queue: 213, Processed: 28, Blocked: 0
[Cycle 46] Servers: 10, Queue: 213, Processed: 29, Blocked: 0
[Cycle 47] Servers: 10, Queue: 213, Processed: 29, Blocked: 0
[Cycle 48] Servers: 10, Queue: 214, Processed: 29, Blocked: 0
[Cycle 49] Servers: 10, Queue: 215, Processed: 29, Blocked: 0
[Cycle 50] Servers: 10, Queue: 216, Processed: 29, Blocked: 0
[Cycle 51] Servers: 10, Queue: 216, Processed: 30, Blocked: 0
[Cycle 52] Servers: 10, Queue: 216, Processed: 31, Blocked: 0
[Cycle 53] Servers: 10, Queue: 216, Processed: 32, Blocked: 0
[Cycle 54] Servers: 10, Queue: 217, Processed: 32, Blocked: 0
[Cycle 55] Servers: 10, Queue: 215, Processed: 35, Blocked: 0
[Cycle 56] Servers: 10, Queue: 215, Processed: 35, Blocked: 0
[Cycle 57] Servers: 10, Queue: 215, Processed: 36, Blocked: 0
[Cycle 58] Servers: 10, Queue: 215, Processed: 37, Blocked: 0
